product_name,product_link,shop_name,shop_link,price,est_mo_sales,est_mo_revenue,est_total_sales,reviews,listing_age,favorites,avg_reviews,views,category,tags_used,auto_renews,is_customizable,is_personalizable,description_character_count,has_variations,is_supply,minimum_processing,placement_of_listing_in_shop,shipped_from,shop_age,visibility_score,conversion_rate,shop_digital_listing_count,title_character,when_made,who_made,total_shop_sales,listing_tye,tags,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13
"Professional Acrylic Business Hours Sign, Personalised Shop Opening Times, QR Code Signage Plaque, Outdoor Office Sign, Reception, Door",https://www.etsy.com/listing/1725011275/professional-acrylic-business-hours-sign,SpartanUK,https://www.etsy.com/shop/SpartanUK,26,0,0,9,1,5 Mo.,9,0,260,Home & Living,,false,false,true,,true,false,1,-1,GB,98,25,3.75,0,135,made_to_order,i_did,7018,physical,"business logo sign,custom logo plaque,small business,office name plate,house number,personalised acrylic,large logo sign,sign for door,qr code,shop sign,opening times,opening hours,acrylic sign",business logo sign,custom logo plaque,small business,office name plate,house number,personalised acrylic,large logo sign,sign for door,qr code,shop sign,opening times,opening hours,acrylic sign
"Custom Printed Acrylic Business Hours Sign, Personalised Shop Opening Times, QR Code Signage Plaque, Outdoor Office Sign, Reception, Door",https://www.etsy.com/listing/1709568596/custom-printed-acrylic-business-hours,SpartanUK,https://www.etsy.com/shop/SpartanUK,26,0,0,0,0,6 Mo.,0,0,47,Home & Living,,false,false,true,,true,false,1,-1,GB,98,0,0.0,0,137,made_to_order,i_did,7018,physical,"business logo sign,custom logo plaque,small business,office name plate,house number,personalised acrylic,large logo sign,sign for door,qr code,shop sign,opening times,opening hours,acrylic sign",business logo sign,custom logo plaque,small business,office name plate,house number,personalised acrylic,large logo sign,sign for door,qr code,shop sign,opening times,opening hours,acrylic sign
"Weatherproof Business Logo Sign, Acrylic Office Plaque, Beauty Salon Sign, Door Name Sign, Full Colour Logo for Business",https://www.etsy.com/listing/1743450497/weatherproof-business-logo-sign-acrylic,SpartanUK,https://www.etsy.com/shop/SpartanUK,20,0,0,0,0,4 Mo.,1,0,44,Home & Living,,true,false,true,,true,false,1,-1,GB,98,0,0.0,0,120,made_to_order,i_did,7018,physical,"White and Gold,Personalised Sign,Wall Plaque,Qr Code Sign,outdoor sign,beauty salon decor,Acrylic logo sign,Business logo sign,Door name sign,Colour logo sign,Wall mounted sign",White and Gold,Personalised Sign,Wall Plaque,Qr Code Sign,outdoor sign,beauty salon decor,Acrylic logo sign,Business logo sign,Door name sign,Colour logo sign,Wall mounted sign,--,--
Opening Times Acrylic Business Hours Sign Personalised Shop Sign Office QR Code Signage Plaque Outdoor Office Notice Reception Door Salon,https://www.etsy.com/listing/1733653977/opening-times-acrylic-business-hours,SpartanUK,https://www.etsy.com/shop/SpartanUK,26,0,0,0,0,5 Mo.,3,0,169,Home & Living,,false,false,true,,true,false,1,-1,GB,98,0,0.0,0,137,made_to_order,i_did,7018,physical,"business logo sign,custom logo plaque,small business,office name plate,house number,personalised acrylic,large logo sign,sign for door,qr code,shop sign,opening times,opening hours,acrylic sign",business logo sign,custom logo plaque,small business,office name plate,house number,personalised acrylic,large logo sign,sign for door,qr code,shop sign,opening times,opening hours,acrylic sign
"Weekly Wall Planner, Calendar, Dry Erase Wall Planner, Wall Schedule, Home Decor, Housewarming Gift, Weekly and Monthly Planner, A4 A3",https://www.etsy.com/listing/1704770177/weekly-wall-planner-calendar-dry-erase,SpartanUK,https://www.etsy.com/shop/SpartanUK,26,0,0,0,0,7 Mo.,1,0,160,Home & Living,,false,false,false,,true,false,1,-1,GB,98,0,0.0,0,134,made_to_order,i_did,7018,physical,"Wall Planner,Calendar,Family Planner,Dry Erase,Monthly Weekly,Home Decor,Housewarming Gift,Personalised Custom,Eco Friendly,Acrylic,Custom,Wipeable Planner,Personalised Planner",Wall Planner,Calendar,Family Planner,Dry Erase,Monthly Weekly,Home Decor,Housewarming Gift,Personalised Custom,Eco Friendly,Acrylic,Custom,Wipeable Planner,Personalised Planner
"Personalised Acrylic Sign Business Logo Plaque QR Code Signage Custom Shop Hours Opening Times, Connect with us Door Wall Sign",https://www.etsy.com/listing/1730844919/personalised-acrylic-sign-business-logo,SpartanUK,https://www.etsy.com/shop/SpartanUK,16,0,0,214,4,5 Mo.,6,0,196,Home & Living,,false,false,true,,true,false,1,-1,GB,98,0,109.18,0,126,made_to_order,i_did,7018,physical,"business logo sign,custom logo plaque,small business,office name plate,house number,personalised acrylic,sign for door,qr code,printed acrylic,modern,shop sign,contemporary,acrylic sign",business logo sign,custom logo plaque,small business,office name plate,house number,personalised acrylic,sign for door,qr code,printed acrylic,modern,shop sign,contemporary,acrylic sign
Personalised Acrylic Price List & QR Code | Beauty Salon Wall Sign | Hair Salon | White and Gold Price List | Treatment Board | Pricing Menu,https://www.etsy.com/listing/1730843927/personalised-acrylic-price-list-qr-code,SpartanUK,https://www.etsy.com/shop/SpartanUK,20,0,0,27,3,5 Mo.,89,0,2703,Paper & Party Supplies,,true,false,true,,true,false,1,-1,GB,98,100,1.0,0,140,made_to_order,i_did,7018,physical,"Acrylic Price List,Salon Price List,White and Gold,Beauty Price List,Personalised Sign,Treatment Menu,Wall Plaque,Acrylic Sign,Aesthetics Services,Small Business,Qr Code Sign,Scan to Pay,Hairdresser Stylist",Acrylic Price List,Salon Price List,White and Gold,Beauty Price List,Personalised Sign,Treatment Menu,Wall Plaque,Acrylic Sign,Aesthetics Services,Small Business,Qr Code Sign,Scan to Pay,Hairdresser Stylist
"Personalised WiFi Sign for Small Business, WiFi Wall Plaque for Home, UV Printed Acrylic Sign, Scan to Connect Sign, Sizes A6, A5, A4, A3",https://www.etsy.com/listing/1776746469/personalised-wifi-sign-for-small,SpartanUK,https://www.etsy.com/shop/SpartanUK,13,0,0,0,0,2 Mo.,3,0,101,Home & Living,,false,false,true,,true,false,1,-1,GB,98,25,0.0,0,137,made_to_order,i_did,7018,physical,"business logo sign,custom logo plaque,small business,house number,personalised acrylic,sign for door,qr code,shop sign,opening times,opening hours,acrylic sign,wifi sign,scan to connect",business logo sign,custom logo plaque,small business,house number,personalised acrylic,sign for door,qr code,shop sign,opening times,opening hours,acrylic sign,wifi sign,scan to connect
"Personalised Scan to Pay Shop Sign for Small Business, Social Media Plaque , Acrylic Wall Sign, QR Code Signage Plaque, Outdoor Office Sign",https://www.etsy.com/listing/1723767485/personalised-scan-to-pay-shop-sign-for,SpartanUK,https://www.etsy.com/shop/SpartanUK,26,0,0,9,1,6 Mo.,4,0,224,Home & Living,,false,false,true,,true,false,1,-1,GB,98,0,4.11,0,139,made_to_order,i_did,7018,physical,"business logo sign,custom logo plaque,small business,house number,personalised acrylic,large logo sign,qr code,shop sign,opening hours,acrylic sign,social media sign,scan to pay,Instagram sign",business logo sign,custom logo plaque,small business,house number,personalised acrylic,large logo sign,qr code,shop sign,opening hours,acrylic sign,social media sign,scan to pay,Instagram sign
"Custom Acrylic Business Logo Sign, Personalised Air BNB Information Plaque, Floating Perspex for Office, Reception, Storefont, Door",https://www.etsy.com/listing/1690386368/custom-acrylic-business-logo-sign,SpartanUK,https://www.etsy.com/shop/SpartanUK,20,0,0,0,0,6 Mo.,5,0,271,Home & Living,,false,false,true,,true,false,1,-1,GB,98,25,0.0,0,131,made_to_order,i_did,7018,physical,"business logo sign,custom logo plaque,small business,office name plate,house number,personalised acrylic,large logo sign,sign for door,qr code,printed acrylic,modern,shop sign,contemporary",business logo sign,custom logo plaque,small business,office name plate,house number,personalised acrylic,large logo sign,sign for door,qr code,printed acrylic,modern,shop sign,contemporary
